2025/02/11-02:00:01.683,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:15.673,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:15.673,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:16.681,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:16.681,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:17.689,PingGenerator.cpp,25,(debug),[ping generator], PingGenerator::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:17.689,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:17.689,CacheGateChannel.cpp,115,(debug),[cachegate channel], CacheGateChannel::composeRelayHeader; composed relay header, fromWid:0, toWid:7801, relayTid:0x3E, hint:1031, reserved:0
2025/02/11-02:02:17.689,PingRelay.cpp,120,(debug),[relay context], PingRelayContext::ComposeRequestPacket; composed ping relay request packet, fromWid:0, toWid:7801, relayTid:0x3E, pingSeq:62
2025/02/11-02:02:17.689,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:17.689,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:17.689,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:17.689,ThreadFreePacketPump.cpp,187,(debug),[packet-pump], post, 63
2025/02/11-02:02:17.689,PingRelay.cpp,39,(notice),[relay context], PingRelayContext::processRelayRequest; sent ping relay request, relayTid:0x3E
2025/02/11-02:02:17.689,PingGenerator.cpp,29,(debug),[ping generator], PingGenerator::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:17.689,ThreadFreePacketPump.cpp,87,(debug),[packet-pump], handle start, 63, session:0x0000000100000001, command:4
2025/02/11-02:02:17.689,CacheGatePacketHandler.cpp,73,(debug),[cachegate packet handler], HandleCacheGateRelay; <BEGIN PACKET HANDLER>
2025/02/11-02:02:17.689,CacheGatePacketHandler.cpp,89,(debug),[cachegate packet handler], HandleCacheGateRelay; decomposed packet, fromWid:7801, toWid:0, relayTid:0x3E, hint:1032, reserved:0, economyCmd:1032
2025/02/11-02:02:17.689,CacheEconomyPacketHandler.cpp,34,(debug),[cache economy packet handler], HandleCacheEconomyPingOk; <BEGIN PACKET HANDLER>
2025/02/11-02:02:17.689,CacheEconomyPacketHandler.cpp,49,(debug),[cache economy packet handler], HandleCacheEconomyPingOk; decomposed packet, fromWid:0, toWid:7801, relayTid:0x3E, pingSeq:62
2025/02/11-02:02:17.689,CacheEconomyPacketHandler.cpp,78,(debug),[cache economy packet handler], HandleCacheEconomyPingOk; <END PACKET HANDLER>
2025/02/11-02:02:17.689,CacheGatePacketHandler.cpp,105,(debug),[cachegate packet handler], HandleCacheGateRelay; <END PACKET HANDLER>
2025/02/11-02:02:17.689,ThreadFreePacketPump.cpp,93,(debug),[packet-pump], handle end, 63, session:0x0000000100000001, command:4
2025/02/11-02:02:18.676,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:18.676,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:19.687,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:19.687,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:20.681,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:20.681,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:21.693,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:21.693,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:22.687,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:22.687,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:22.687,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:22.687,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:23.677,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:23.677,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:24.679,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:24.679,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:25.685,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:25.685,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:26.671,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:26.671,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:27.683,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:27.683,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:27.683,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:27.683,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:28.669,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:28.669,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:29.675,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:29.675,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:30.678,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:30.678,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:31.683,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:31.683,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:32.668,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:32.668,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:32.668,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:32.668,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:33.681,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:33.681,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:34.697,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:34.697,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:35.683,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:35.683,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:36.696,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:36.696,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:37.687,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:37.687,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:37.687,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:37.687,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:38.686,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:38.686,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:39.682,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:39.682,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:40.684,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:40.684,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:41.682,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:41.682,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:42.689,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:42.689,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:42.689,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:42.689,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:43.676,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:43.676,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:44.691,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:44.691,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:45.684,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:45.684,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:46.671,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:46.671,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:47.676,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:47.676,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:47.676,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:47.676,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:48.680,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:48.680,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:49.684,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:49.684,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:50.672,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:50.672,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:51.676,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:51.676,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:52.676,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:52.676,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:52.676,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:52.676,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:53.678,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:53.678,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:54.686,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:54.686,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:55.675,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:55.675,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:56.686,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:56.686,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:57.672,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:57.672,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:57.672,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:57.672,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:58.672,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:58.672,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:59.672,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:59.672,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:00.676,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:00.676,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:01.683,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:01.683,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:02.683,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:02.683,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:02.683,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:02.683,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:03.676,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:03.676,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:04.685,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:04.685,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:05.688,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:05.688,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:06.681,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:06.681,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:07.689,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:07.689,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:07.689,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:07.689,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:08.678,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:08.678,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:09.682,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:09.682,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:10.693,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:10.693,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:11.683,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:11.683,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:12.691,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:12.691,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:12.691,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:12.691,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:13.683,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:13.683,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:14.676,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:14.676,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:15.677,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:15.677,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:16.690,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:16.690,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:17.684,PingGenerator.cpp,25,(debug),[ping generator], PingGenerator::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:17.684,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:17.684,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:17.684,CacheGateChannel.cpp,115,(debug),[cachegate channel], CacheGateChannel::composeRelayHeader; composed relay header, fromWid:0, toWid:7801, relayTid:0x3F, hint:1031, reserved:0
2025/02/11-02:03:17.684,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:17.684,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:17.684,PingRelay.cpp,120,(debug),[relay context], PingRelayContext::ComposeRequestPacket; composed ping relay request packet, fromWid:0, toWid:7801, relayTid:0x3F, pingSeq:63
2025/02/11-02:03:17.684,PingRelay.cpp,39,(notice),[relay context], PingRelayContext::processRelayRequest; sent ping relay request, relayTid:0x3F
2025/02/11-02:03:17.684,PingGenerator.cpp,29,(debug),[ping generator], PingGenerator::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:17.684,ThreadFreePacketPump.cpp,187,(debug),[packet-pump], post, 64
2025/02/11-02:03:17.684,ThreadFreePacketPump.cpp,87,(debug),[packet-pump], handle start, 64, session:0x0000000100000001, command:4
2025/02/11-02:03:17.684,CacheGatePacketHandler.cpp,73,(debug),[cachegate packet handler], HandleCacheGateRelay; <BEGIN PACKET HANDLER>
2025/02/11-02:03:17.684,CacheGatePacketHandler.cpp,89,(debug),[cachegate packet handler], HandleCacheGateRelay; decomposed packet, fromWid:7801, toWid:0, relayTid:0x3F, hint:1032, reserved:0, economyCmd:1032
